x,y,z,rx,ry,rz
-268.167,33.493,1380.042,164.559,-7.549,8.015
-260.144,35.439,1384.082,160.346,-3.442,3.180
-250.231,35.547,1384.088,159.225,0.227,0.526
-240.318,35.655,1384.093,159.030,0.500,0.420
-230.405,35.763,1384.099,157.166,-1.888,-7.996
-221.571,33.268,1385.297,164.547,-18.036,-50.842
-220.944,24.345,1389.410,171.882,-20.955,-70.865
-216.077,17.787,1392.457,163.056,-6.474,-25.025
-206.167,17.861,1392.479,165.613,9.557,22.723
-200.939,24.109,1389.631,175.455,20.926,70.516
-200.716,33.088,1385.496,167.997,21.086,54.007
-192.229,36.179,1384.120,157.374,5.855,9.168
-182.316,36.287,1384.126,157.052,0.431,0.428
-172.403,36.395,1384.131,157.090,-0.152,0.675
-162.490,36.503,1384.137,157.193,-0.350,0.758
-152.577,36.611,1384.143,156.830,-0.165,0.681
-142.664,36.719,1384.148,157.231,0.087,0.574
-132.751,36.827,1384.154,157.489,1.192,0.117
-122.839,36.935,1384.159,159.931,4.425,-2.242
-114.770,35.164,1380.128,165.068,8.174,-7.153
